"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"174","J. Kyarisiima","Dosqaly","DF","Flawless Cows",20,"B","2020",9.7642
"144","W. Karlsson","Southern Ristan","DF","Stacked Rocks",30,"A","2020",9.77286666666666
"434","N. Barukh","Giumle Lizeibon","DF","Marvelous Anchors",23,"C","2020",9.77926666666667
"1558","M. Nakkazi","Slandsganiamayotteque","DF","Silver Frogs",27,"C","2021",9.77993333333333
"1414","N. Nakacwa","Central Diasongo","DF","Weak Blimps",25,"B","2021",9.7818
"1774","J. Neo","Sobianitedrucy","DF","Mighty Monkeys",25,"D","2021",9.78583333333333
"1967","B. Bwambale","Nganion","DF","Mad Kingsmen",20,"E","2021",9.79863333333333
"651","M. Angom","Sobianitedrucy","DF","Mighty Monkeys",28,"D","2020",9.79886666666667
"1644","C. Byrne","Ingre","DF","Wicked Gentlefolk",22,"C","2021",9.8077
"2044","I. Carpentier","Rosvi","MFDF","Running Bigfoots",28,"E","2021",9.81026666666667
"977","G. Mishra","Nganion","DFMF","Ultimate Penguins",28,"E","2020",9.8134
"1231","O. Takeda","Dosqaly","DF","Flawless Cows",17,"B","2021",9.8215
"1131","Q. Aini","Ngoque Blicri","DF","Mighty Jays",23,"A","2021",9.82616666666666
"884","N. Andama","Nganion","DF","Plane Janes",33,"E","2020",9.82779999999999
"2050","L. Wambi","Nganion","DF","Sassy Knights",19,"E","2021",9.83373333333334
"1639","W. Zarei","Slandsganiamayotteque","DFMF","White Firebirds",21,"C","2021",9.8441
"764","M. Rashid","Sobianitedrucy","DFMF","Sugar Bengals",21,"D","2020",9.84436666666667
"2100","K. Shibata","Rarita","DF","Black Coyotes",29,"RFL","2021",9.854
"1971","R. Morin","Nganion","DF","Mad Kingsmen",28,"E","2021",9.85733333333334
"850","C. Pavlovi?","Lefghau","DF","Mad Kingsmen",21,"E","2020",9.8717
"980","T. Candia","Quewenia","DF","Black Coyotes",26,"RFL","2020",9.87496666666667
"912","K. Mpofu","Nganion","DF","Running Bigfoots",22,"E","2020",9.87786666666667
"317","C. Danquah","Byasier Pujan","DF","Unaccountable Foxes",23,"B","2020",9.87856666666666
"897","G. Syu","Janmico","DF","Punctual Leopards",25,"E","2020",9.8919
"1357","P. Nahabwe","Greri Landmoslands","DF","Somber Stallions",20,"B","2021",9.90036666666667
"145","X. Nakibuuka","Southern Ristan","DF","Stacked Rocks",32,"A","2020",9.90203333333334
"1544","U. Selima","Esia","DF","Serious Cyclones",27,"C","2021",9.90236666666667
"549","M. Angom","Sobianitedrucy","DF","Coy Sunbirds",28,"D","2020",9.91156666666667
"1744","C. Manjhi","Sobianitedrucy","DF","Marvelous Heels",26,"D","2021",9.91796666666666
"1752","F. Farkas","Esia","DF","Marvelous Patriots",25,"D","2021",9.91840000000001
"1740","A. Cheang","Manlisgamncent","DF","Marvelous Heels",20,"D","2021",9.9221
"2019","T. Lawino","Nganion","DF","Punctual Leopards",29,"E","2021",9.92463333333333
"54","A. Tay","Frenchdo Stanser","DF","Horrible Storm",31,"A","2020",9.9268
"458","K. Shumba","Esia","DF","Serious Cyclones",30,"C","2020",9.93243333333333
"1737","D. Adu","Esia","DF","Marvelous Heels",26,"D","2021",9.93713333333334
"2038","I. Niemi","Imaar Vircoand","DF","Running Bigfoots",28,"E","2021",9.9385
"1809","K. Shibata","Imaar Vircoand","DF","Serious Ranchers",29,"D","2021",9.96186666666667
"1391","J. Rinaldi","Central Diasongo","DFFW","Unaccountable Foxes",23,"B","2021",9.9717
"686","G. De Groot","Lefghau","DF","Remarkable Flames",29,"D","2020",9.9871
"1784","L. Fuchs","Sobianitedrucy","DF","Red Rangers",28,"D","2021",9.99346666666666
"2158","F. Acayo","Rarita","DF","Strong Oaks",24,"RFL","2021",10.0186333333333
"1814","J. Manu","Pierrema","DF","Serious Ranchers",24,"D","2021",10.0218333333333
"1161","D. Iskandar","Byasier Pujan","DF","Silver Heels",29,"A","2021",10.0326333333333
"1783","I. Franke","Sobianitedrucy","DF","Red Rangers",28,"D","2021",10.0331333333333
"1081","P. Chew","Esia","MFDF","Fighting Cougars",29,"A","2021",10.0343333333333
"1824","G. Muzamba","Sobianitedrucy","DF","Spicy Pointers",28,"D","2021",10.0394
"1532","J. Nahabwe","Byasier Pujan","DF","Red Artichokes",27,"C","2021",10.0408
"602","O. Barasa","Sobianitedrucy","DF","Hideous Spartans",32,"D","2020",10.0436
"1101","G. Hernández","People's Land of Maneau","DF","Green Fleet",22,"A","2021",10.05
"1302","B. Savolainen","Lefghau","DF","Overconfident Kangaroos",26,"B","2021",10.0603
"1341","F. Baguma","Coastpa Barleslands","DF","Solemn Leopards",28,"B","2021",10.0610666666667
"1765","H. Korošec","Imaar Vircoand","DF","Mean Wolves",22,"D","2021",10.0872666666667
"184","F. Yunusa","Rarita","MFDF","Flawless Cows",25,"B","2020",10.0873
"504","B. Mangwiro","Dosqaly","DF","Ultimate Dolphins",23,"C","2020",10.0917
"289","P. Nahabwe","Greri Landmoslands","DF","Somber Stallions",19,"B","2020",10.0951666666667
"1913","Y. Ssentongo","Nganion","DF","Festive Governors",21,"E","2021",10.1141333333333
"1826","M. Namiiro","Sobianitedrucy","DF","Spicy Pointers",34,"D","2021",10.1203666666667
"1728","H. Kabugho","Sobianitedrucy","DF","Hideous Spartans",26,"D","2021",10.1206333333333
"740","Y. Rodriguez","Janmico","DF","Strange Pioneers",32,"D","2020",10.133
"252","M. Begu","Dosqaly","DF","Serious Thunderbirds",18,"B","2020",10.1347333333333
"1148","M. Carpentier","Lefghau","DFMF","Old Mustangs",26,"A","2021",10.1379
"1594","B. Mangwiro","Dosqaly","DF","Ultimate Dolphins",24,"C","2021",10.1470666666667
"834","K. Lowe","Dosqaly","FWDF","Horrible Bison",19,"E","2020",10.1487666666667
"1172","Q. Sam","Giumle Lizeibon","DF","Solemn Cougars",34,"A","2021",10.1511666666667
"1052","E. Koç","Rarita","DF","Wild Hornets",27,"RFL","2020",10.1712333333333
"1525","N. Nanziri","Esia","DF","Punctual Archers",28,"C","2021",10.1759666666667
"617","Y. Opio","Sobianitedrucy","DF","Marvelous Heels",28,"D","2020",10.1783333333333
"2087","B. Turinawe","Lefghau","DF","Ultimate Penguins",30,"E","2021",10.1814
"1349","P. Chi","Rarita","DF","Solemn Leopards",30,"B","2021",10.1829666666667
"1721","M. Ogbonna","Mico","FWDF","Flying Bombadiers",20,"D","2021",10.1850333333333
"1483","L. Kovalenko","Byasier Pujan","DF","Horrible Flames",25,"C","2021",10.1864666666667
"169","Q. Tiko","People's Land of Maneau","DF","Swift Musketeers",19,"A","2020",10.1929333333333
"188","O. Wagner","Dosqaly","DF","Glistening Paladins",24,"B","2020",10.1966
"1725","D. Kos","Nkasland Cronestan","DF","Hideous Spartans",20,"D","2021",10.1985333333333
"1611","D. Amongi","Lylimi","DFMF","Ultimate Longhorns",36,"C","2021",10.2042666666667
"2071","P. Okoth","Nganion","DF","Serious Magicians",30,"E","2021",10.2131666666667
"1259","G. Namanya","Dosqaly","DF","Grotesque Rocks",29,"B","2021",10.2167666666667
"1219","S. Wafula","People's Land of Maneau","DF","Weak Tornadoes",22,"A","2021",10.2197333333333
"1992","D. Pal","Nganion","DF","Plane Janes",29,"E","2021",10.2302
"1753","D. Muwonge","Ingre","DF","Marvelous Patriots",24,"D","2021",10.2330333333333
"1681","S. Owor","Xikong","DF","Coy Sunbirds",30,"D","2021",10.2406
"1202","W. Karlsson","Southern Ristan","DF","Stacked Rocks",31,"A","2021",10.2523333333333
"666","F. Makombe","Unicorporated Tiagascar","DF","Punctual Fire",32,"D","2020",10.2586333333333
"222","E. binti Abdullah","Lylimi","DF","Hideous Pioneers",26,"B","2020",10.2622
"87","F. Nassolo","Djipines","DF","Old Mustangs",18,"A","2020",10.2737333333333
"580","R. Bogere","Sobianitedrucy","DF","Fighting Wave",34,"D","2020",10.2751
"1758","C. Malkah","Varijitri Isles","DF","Marvelous Patriots",21,"D","2021",10.2768
"1828","V. Macuacua","Western Niasland","DF","Spicy Pointers",33,"D","2021",10.2818333333333
"662","K. Kizza","Rosvi","DF","Punctual Fire",31,"D","2020",10.2862
"1281","C. Nurjanah","New Somoe","DF","Mean Colts",28,"B","2021",10.2884333333333
"1762","D. Henriksen","Byasier Pujan","DF","Mean Wolves",23,"D","2021",10.2887333333333
"2072","V. Ang","Nganion","DF","Serious Magicians",29,"E","2021",10.2933333333333
"746","I. Paswan","Sobianitedrucy","DF","Strange Pioneers",24,"D","2020",10.3000333333333
"183","O. Musonza","Nganion","MFDF","Flawless Cows",29,"B","2020",10.3014
"361","B. Kayondo","Lefghau","DFMF","Weak Blimps",23,"B","2020",10.3015
"673","J. Fukuda","Lefghau","DF","Red Rangers",25,"D","2020",10.3073666666667
"1378","A. Schmidt","Dosqaly","DFFW","Swift Rustlers",27,"B","2021",10.3248666666667
"376","D. Okech","Leoneku Guidisia","DF","Awkward Trailblazers",33,"C","2020",10.3363
"1486","F. Mugide","Esia","DF","Horrible Flames",26,"C","2021",10.356
"2023","L. Olsson","Nganion","DF","Rabid Greyhounds",33,"E","2021",10.3622333333333
"1270","K. Ahimbisibwe","Southern Ristan","DF","Jumping Beans",22,"B","2021",10.3877
"945","H. Jovanovi?","Dosqaly","DF","Swift Bison",22,"E","2020",10.3922666666667
"512","G. Nisha","Esia","MFDF","Ultimate Dolphins",24,"C","2020",10.4039666666667
"1662","L. Kyambadde","Sobianitedrucy","DF","Coy Catamarans",30,"D","2021",10.4099333333333
"1776","Q. Atiku","Sobianitedrucy","DF","Mighty Monkeys",30,"D","2021",10.4224
"190","Q. Muduwa","Dosqaly","DF","Glistening Paladins",32,"B","2020",10.4271333333333
"2154","Z. Kakai","Rarita","MFDF","Serious Buffaloes",26,"RFL","2021",10.4316
"1845","I. Franke","Sobianitedrucy","DF","Strange Pioneers",28,"D","2021",10.4390666666667
"1504","O. Obeng","Quewenia","MFDF","Little Lollipops",23,"C","2021",10.4419
"227","O. Kembabazi","Giumle Lizeibon","DF","Jumping Beans",19,"B","2020",10.4553
"1666","B. Teh","Sobianitedrucy","MFDF","Coy Catamarans",28,"D","2021",10.4697
"1658","K. Y?ld?z","Nkasland Cronestan","DF","Coy Catamarans",25,"D","2021",10.4729666666667
"246","U. Lindberg","Dosqaly","DFMF","Overconfident Kangaroos",22,"B","2020",10.4875
"949","A. Muller","Nganion","DF","Swift Bison",31,"E","2020",10.4901666666667
"1675","J. Otoo","Sobianitedrucy","DF","Coy Sunbirds",22,"D","2021",10.4944333333333
"1457","M. Schwartz","Slandsganiamayotteque","DF","Blue Jaguars",20,"C","2021",10.4972
"1656","D. Brunner","Greri Landmoslands","DF","Coy Catamarans",22,"D","2021",10.4988
"632","C. Moser","Byasier Pujan","DF","Mean Wolves",29,"D","2020",10.5000666666667
"590","B. Angella","Lylimi","DF","Flying Bombadiers",20,"D","2020",10.5009666666667
"1764","U. Krause","Dosqaly","DF","Mean Wolves",33,"D","2021",10.5022333333333
"734","M. Namiiro","Sobianitedrucy","DF","Spicy Pointers",33,"D","2020",10.5245666666667
"193","W. Santoro","Coastpa Barleslands","DF","Golden Rustlers",26,"B","2020",10.5425
"1491","G. Nansamba","Manlisgamncent","DF","Horrible Flames",24,"C","2021",10.5545
"1821","O. Andoh","Esia","DF","Spicy Pointers",21,"D","2021",10.5559
"1865","M. Sinh","Loco Phirema","DF","Wet Flames",25,"D","2021",10.5771666666667
"283","F. Baguma","Coastpa Barleslands","DFFW","Solemn Leopards",27,"B","2020",10.5796333333333
"1310","B. Simango","Dosqaly","DF","Serious Thunderbirds",22,"B","2021",10.5934
"1760","C. Adong","Byasier Pujan","DF","Mean Wolves",29,"D","2021",10.5983333333333
"138","M. Tang","Djipines","DF","Stacked Rocks",26,"A","2020",10.6041333333333
"1659","C. Musubika","Saintu","DF","Coy Catamarans",29,"D","2021",10.6045
"120","D. Tawiah","Thaijagypt","DF","Solemn Cougars",35,"A","2020",10.6065
"464","S. Kisakye","Esia","DFFW","Serious Cyclones",31,"C","2020",10.6245333333333
"359","L. Das","Central Diasongo","DFFW","Weak Blimps",20,"B","2020",10.6299
"1745","K. Mwanje","Sobianitedrucy","DF","Marvelous Heels",23,"D","2021",10.6318666666667
"1805","J. Nanziri","Byasier Pujan","DF","Serious Ranchers",26,"D","2021",10.6321333333333
"2177","W. Guo","Rarita","DF","Wild Hornets",30,"RFL","2021",10.6332
"844","V. Chimwaza","Nganion","DF","Mad Bees",32,"E","2020",10.6346333333333
"1906","N. Turyasingura","Nganion","DFMF","Delta Colts",31,"E","2021",10.6452
"843","R. Koch","Nganion","DF","Mad Bees",29,"E","2020",10.6463666666667
"879","C. Ibrahim","Imaar Vircoand","DF","Plane Janes",28,"E","2020",10.6471
"1157","A. Berisha","People's Land of Maneau","DFFW","Punctual Rustlers",23,"A","2021",10.6552666666667
"68","E. Ramezani","People's Land of Maneau","DF","Mighty Jays",23,"A","2020",10.6579333333333
"2025","M. Stein","Nganion","DF","Rabid Greyhounds",31,"E","2021",10.6661
"1406","Y. Bano","Central Diasongo","DF","Villainous Eagles",30,"B","2021",10.6697333333333
"1940","L. Blanc","Nganion","DF","Hideous Spiders",36,"E","2021",10.6739
"1419","M. Lunkuse","Dosqaly","DF","Weak Blimps",20,"B","2021",10.6813666666667
"1850","O. Mapfumo","Biarizea","DF","Sugar Bengals",21,"D","2021",10.6824666666667
"2017","L. Arai","Nganion","DF","Punctual Leopards",23,"E","2021",10.6975333333333
"413","E. Pour","Lefghau","DF","Horrible Flames",26,"C","2020",10.6986
"502","U. Kyoshabire","Central Democracy of Boekrainego","DF","Ultimate Dolphins",18,"C","2020",10.7043333333333
"2022","G. Tugume","Nganion","DF","Rabid Greyhounds",25,"E","2021",10.7129666666667
"1203","C. Bai","Western Niasland","DF","Stacked Rocks",24,"A","2021",10.7156666666667
"1461","F. Ankrah","Esia","FWDF","Blue Jaguars",17,"C","2021",10.7310666666667
"1121","B. Stewart","People's Land of Maneau","DF","Horrible Storm",24,"A","2021",10.7392666666667
"476","F. Mawa","Manlisgamncent","DF","Silver Frogs",21,"C","2020",10.7396
"191","S. Bukirwa","Dosqaly","DF","Glistening Paladins",22,"B","2020",10.7524666666667
"1972","G. Yunusa","Nganion","DFFW","Mad Kingsmen",29,"E","2021",10.7646
"1954","D. Kalni?š","Nganion","DF","Mad Bees",31,"E","2021",10.7701333333333
"2140","L. Kidega","Highhlaands","DFMF","Red Anchormen",29,"RFL","2021",10.7794333333333
"1801","J. Bahri","Sobianitedrucy","DF","Remarkable Flames",24,"D","2021",10.7879333333333
"422","C. Msukwa","Pierrema","DF","Little Lollipops",24,"C","2020",10.7909333333333
"1252","J. Mushabe","Lefghau","DF","Golden Rustlers",29,"B","2021",10.7995666666667
"1359","M. Nagudi","Pitpu Biaal","DF","Somber Stallions",26,"B","2021",10.8149333333333
"685","F. Okon","Imaar Vircoand","DF","Remarkable Flames",32,"D","2020",10.8208333333333
"950","E. Balog","Nganion","DF","Swift Bison",19,"E","2020",10.8239
"1720","U. Lomongin","Northern Namemo Laand","DFMF","Flying Bombadiers",32,"D","2021",10.8371
"1592","F. Baguma","Coastpa Barleslands","DF","Ultimate Dolphins",28,"C","2021",10.8473333333333
"1981","C. Lunyolo","Nganion","DF","Orange Giants",24,"E","2021",10.8633333333333
"1490","E. Pour","Lefghau","DF","Horrible Flames",27,"C","2021",10.8760333333333
"1360","L. James","Varijitri Isles","DF","Somber Stallions",23,"B","2021",10.8815666666667
"2169","D. Bergmann","People's Land of Maneau","DF","Wild Hornets",27,"RFL","2021",10.8862
"1831","F. Odaga","Sobianitedrucy","DFMF","Spicy Pointers",21,"D","2021",10.8998666666667
"2148","K. Musah","Rarita","DF","Serious Buffaloes",30,"RFL","2021",10.9034333333333
"1217","D. Mo","Dosqaly","DF","Weak Tornadoes",30,"A","2021",10.9074666666667
"1535","X. Sulaiman","Esia","DF","Red Artichokes",28,"C","2021",10.9155666666667
"621","D. Muwonge","Ingre","DF","Marvelous Patriots",23,"D","2020",10.9191
"318","B. Nandudu","Dosqaly","DF","Unaccountable Foxes",18,"B","2020",10.9199333333333
"1645","L. Mensah","Manlisgamncent","DF","Wicked Gentlefolk",22,"C","2021",10.9227666666667
"1201","E. Koç","Rarita","DF","Stacked Rocks",28,"A","2021",10.9237666666667
"2090","L. Alqahtani","Nganion","DF","Ultimate Penguins",27,"E","2021",10.9265666666667
"103","C. Boyko","Dosqaly","DF","Silver Heels",29,"A","2020",10.9334333333333
"1070","Q. Hor","Byasier Pujan","DF","Fighting Cougars",28,"A","2021",10.9375
"2030","A. Fatimah","Nganion","DFFW","Rabid Greyhounds",19,"E","2021",10.9406333333333
"1543","T. binti Osman","Esia","DF","Serious Cyclones",22,"C","2021",10.9547333333333
"1618","H. Weber","Esia","DF","Weak Chargers",28,"C","2021",10.9573333333333
"468","Z. Braun","Esia","MFDF","Serious Cyclones",25,"C","2020",10.9580333333333
"1082","O. Kia","Western Niasland","MFDF","Fighting Cougars",21,"A","2021",10.9619
"1706","H. Bhebhe","Byasier Pujan","DF","Flying Bombadiers",27,"D","2021",10.9693333333333
"1956","R. Koch","Nganion","DF","Mad Bees",30,"E","2021",10.972
"1216","Z. Kituyi","Central Republic of Boekrainego","DF","Weak Tornadoes",20,"A","2021",10.9888666666667
"1451","Z. Mugeni","Galamily","DF","Blue Jaguars",28,"C","2021",11.0000666666667
"752","A. Radu","Janmico","DF","Sugar Bengals",33,"D","2020",11.0018333333333
"1939","K. Mahmood","Nganion","DF","Hideous Spiders",29,"E","2021",11.0067
"1867","L. Schmid","Sobianitedrucy","DF","Wet Flames",25,"D","2021",11.0071333333333
"637","Y. Gashi","Mico","DF","Mean Wolves",28,"D","2020",11.0099666666667
"1952","W. Kobusingye","Dosqaly","DFMF","Horrible Bison",21,"E","2021",11.0166333333333
"50","V. Thompson","People's Land of Maneau","DF","Horrible Grizzlies",19,"A","2020",11.0211
"955","C. Popescu","Mico","DFMF","Swift Bison",30,"E","2020",11.0219
"1812","W. Fernando","Nganion","DF","Serious Ranchers",27,"D","2021",11.0223333333333
"595","W. Hamad","Kesternsri","DF","Hideous Spartans",33,"D","2020",11.0258666666667
"415","C. Rodríguez","Esia","DFMF","Horrible Flames",30,"C","2020",11.0263
"684","P. Martinelli","Lefghau","MFDF","Red Rangers",19,"D","2020",11.0287333333333
"1996","H. bin Ibrahim","Imaar Vircoand","DFMF","Plane Janes",22,"E","2021",11.034
"73","C. Carvalho","Byasier Pujan","DF","Odd Ducks",24,"A","2020",11.0340333333333
"1476","L. Arai","Nganion","DF","Fiery Governors",23,"C","2021",11.0346
"1050","D. Bergmann","People's Land of Maneau","DF","Wild Hornets",26,"RFL","2020",11.0418
"279","R. Mutumba","Dosqaly","DF","Solemn Leopards",20,"B","2020",11.0420333333333
"1235","D. Mabhena","Nganion","DF","Flawless Cows",27,"B","2021",11.0454333333333
"485","U. Masarweh","Esia","DF","Spicy Gophers",28,"C","2020",11.0500666666667
"1832","V. Lahtinen","Sobianitedrucy","DFMF","Spicy Pointers",23,"D","2021",11.0537
"1024","Z. Milani","Rarita","DF","Mad Cardinals",33,"RFL","2020",11.0828
"601","K. Reyes","Sobianitedrucy","DF","Hideous Spartans",21,"D","2020",11.0862333333333
"1374","C. Kazibwe","Lefghau","DF","Swift Rustlers",23,"B","2021",11.0950333333333
"587","I. Fernandes","Galamily","DF","Flying Bombadiers",27,"D","2020",11.1044333333333
"373","M. Iwasaki","Esia","DF","Awkward Trailblazers",31,"C","2020",11.1067666666667
"2152","Z. Rajabi","Rarita","DF","Serious Buffaloes",30,"RFL","2021",11.1077333333333
"1117","N. Nantege","People's Land of Maneau","FWDF","Horrible Grizzlies",19,"A","2021",11.1118333333333
"1791","T. Ferrari","Tercapetralgrorus","MFDF","Red Rangers",22,"D","2021",11.1125666666667
"1811","F. Nanfuka","Lefghau","DF","Serious Ranchers",23,"D","2021",11.1170666666667
"1842","F. Hang","Rarita","DF","Strange Pioneers",25,"D","2021",11.1186
"1516","Q. Fathi","Esia","DF","Mean Trolls",22,"C","2021",11.1356333333333
"2097","C. Baluka","Rarita","DF","Black Coyotes",20,"RFL","2021",11.1364666666667
"168","P. Byamukama","People's Land of Maneau","DF","Swift Musketeers",29,"A","2020",11.1390333333333
"1304","H. Kabugho","Sobianitedrucy","DF","Overconfident Kangaroos",26,"B","2021",11.1461666666667
"355","Z. Akoth","Dosqaly","DF","Weak Blimps",20,"B","2020",11.1483666666667
"880","D. Akia","Nganion","DF","Plane Janes",27,"E","2020",11.1538333333333
"1111","D. Martini","Nganion","DF","Horrible Grizzlies",29,"A","2021",11.1594333333333
"910","C. Kasangaki","Nganion","DF","Running Bigfoots",29,"E","2020",11.1689333333333
"1429","F. Aminu","Dosqaly","DF","Wet Monarchs",31,"B","2021",11.1714
"1079","Z. ?no","People's Land of Maneau","DFMF","Fighting Cougars",22,"A","2021",11.1754666666667
"374","S. Busch","Galamily","DF","Awkward Trailblazers",32,"C","2020",11.1862666666667
"623","Z. Longole","Lefghau","DF","Marvelous Patriots",23,"D","2020",11.1965666666667
"619","J. Laurent","Cabral Retrea","DF","Marvelous Patriots",29,"D","2020",11.1984
"1643","X. Nyaketcho","Esia","DF","Wicked Gentlefolk",24,"C","2021",11.2201666666667
"1598","M. Schwartz","Slandsganiamayotteque","DF","Ultimate Dolphins",20,"C","2021",11.2239666666667
"1973","K. Umar","Nganion","DFFW","Mad Kingsmen",20,"E","2021",11.2242
"2035","I. Namata","Nganion","MFDF","Rabid Greyhounds",28,"E","2021",11.2245
"1934","G. Kiggundu","Ingre","DF","Hideous Spiders",31,"E","2021",11.2249
"1819","H. Hansen","Unicorporated Tiagascar","DFMF","Serious Ranchers",34,"D","2021",11.2288666666667
"1917","P. Peh","Dosqaly","FWDF","Festive Governors",23,"E","2021",11.2308333333333
"97","S. Debnath","People's Land of Maneau","DF","Punctual Rustlers",26,"A","2020",11.2326
"530","L. Oroma","Southern Ristan","DF","Weak Chargers",28,"C","2020",11.2359333333333
"978","C. Kakayi","Dosqaly","DF","Black Coyotes",21,"RFL","2020",11.2359666666667
"1566","N. Kiss","Esia","DF","Spicy Gophers",19,"C","2021",11.2431
"62","D. Wolf","Ingre","DF","Mighty Jays",31,"A","2020",11.2798333333333
"1140","F. Nassolo","Djipines","DF","Old Mustangs",19,"A","2021",11.2840666666667
"1527","W. Montanari","Esia","DF","Punctual Archers",24,"C","2021",11.2851333333333
"66","Z. Semakula","Nganion","DF","Mighty Jays",24,"A","2020",11.2955
"1260","H. Kaweesi","Dosqaly","DF","Grotesque Rocks",28,"B","2021",11.2983
"630","C. Malkah","Varijitri Isles","DF","Marvelous Patriots",20,"D","2020",11.2986666666667
"854","N. Quinn","Nganion","DF","Mad Kingsmen",23,"E","2020",11.3059333333333
"535","W. Aubert","Dosqaly","DF","White Firebirds",20,"C","2020",11.3081
"1492","P. Ategeka","Saintswacroa","DF","Horrible Flames",21,"C","2021",11.3320666666667
"1858","W. Ongom","Sobianitedrucy","DF","Sugar Bengals",30,"D","2021",11.3363
"1126","D. Asaba","Greri Landmoslands","DF","Mighty Jays",28,"A","2021",11.3421666666667
"39","Z. Agyei","People's Land of Maneau","DF","Green Fleet",18,"A","2020",11.3488333333333
"1427","F. Fournier","Pierrema","DFMF","Weak Blimps",24,"B","2021",11.3514
"1275","K. Kao","Dosqaly","DF","Mean Colts",20,"B","2021",11.3545
"892","H. Nakagolo","Pahon","DF","Polar Kangaroos",28,"E","2020",11.3563666666667
"35","I. Donati","People's Land of Maneau","DF","Green Fleet",27,"A","2020",11.3693
"407","L. Kovalenko","Byasier Pujan","DF","Horrible Flames",24,"C","2020",11.372
"1724","W. Hamad","Kesternsri","DF","Hideous Spartans",34,"D","2021",11.3912
"12","Z. Salisu","Nganion","DF","Fighting Cougars",28,"A","2020",11.3954666666667
"900","C. Longo","Nganion","DF","Punctual Leopards",25,"E","2020",11.4049333333333
"2069","G. Riva","Nganion","DF","Serious Magicians",25,"E","2021",11.4374333333333
"417","D. Safitri","Esia","MFDF","Horrible Flames",22,"C","2020",11.4385666666667
"616","M. Namiiro","Sobianitedrucy","DF","Marvelous Heels",33,"D","2020",11.4388666666667
"294","G. Asiedu","Dosqaly","DF","Supreme Janes",31,"B","2020",11.4469333333333
"2055","F. Taha","Central Namemo Laand","DF","Screaming Ramblers",18,"E","2021",11.4502
"1561","P. Takahashi","Dosqaly","MFDF","Silver Frogs",29,"C","2021",11.4668333333333
"1410","U. Heilig","Dosqaly","DF","Villainous Eagles",31,"B","2021",11.4755333333333
"101","I. Namugosa","Western Niasland","DF","Punctual Rustlers",24,"A","2020",11.4778
"1283","M. Heinonen","Reugha","DF","Mean Colts",27,"B","2021",11.4879333333333
"658","F. Sason","Nkasland Cronestan","DF","Punctual Fire",28,"D","2020",11.4935
"695","D. Caruso","Varijitri Isles","DF","Remarkable Flames",22,"D","2020",11.5034
"408","F. Mugide","Esia","DF","Horrible Flames",25,"C","2020",11.5044333333333
"2166","X. Takagi","Rarita","DF","Strong Oaks",23,"RFL","2021",11.5120666666667
"1574","I. Nakato","Coastpa Barleslands","DF","Supreme Jaguars",29,"C","2021",11.5131333333333
"2145","C. Wahyuni","Rarita","DF","Serious Buffaloes",38,"RFL","2021",11.5180333333333
"1329","S. Nalugwa","Biarizea","DF","Simple Privateers",33,"B","2021",11.5251666666667
"507","N. Quinn","Nganion","DF","Ultimate Dolphins",23,"C","2020",11.5334333333333
"1766","D. Biribawa","Lefghau","DF","Mean Wolves",24,"D","2021",11.5379666666667
"1498","E. Nabaasa","Giumle Lizeibon","DF","Little Lollipops",27,"C","2021",11.5442
"600","K. Nanyondo","Sobianitedrucy","DF","Hideous Spartans",26,"D","2020",11.5451666666667
"424","P. Naiga","Xikong","DF","Little Lollipops",33,"C","2020",11.5484
"1242","B. Polák","Dosqaly","DF","Glistening Paladins",22,"B","2021",11.5519666666667
"201","L. Okoye","Rosvi","DF","Golden Rustlers",23,"B","2020",11.5703
"465","X. Pavlovi?","Nganion","DFFW","Serious Cyclones",19,"C","2020",11.5760666666667
"1780","D. Balázs","Nkasland Cronestan","DF","Red Rangers",25,"D","2021",11.5792333333333
"304","K. Balogun","Lenia Gerdanho","DFFW","Supreme Janes",22,"B","2020",11.5877333333333
"47","S. Namugere","Nganion","DF","Horrible Grizzlies",29,"A","2020",11.5888
"358","E. Kova?i?","Mico","DF","Weak Blimps",25,"B","2020",11.5888333333333
"1197","M. Tang","Djipines","DF","Stacked Rocks",27,"A","2021",11.589
"1584","I. Öztürk","Rosvi","DF","Supreme Jaguars",27,"C","2021",11.5890666666667
"681","X. Anena","Sobianitedrucy","DF","Red Rangers",32,"D","2020",11.5929333333333
"745","I. Franke","Sobianitedrucy","DF","Strange Pioneers",27,"D","2020",11.5934666666667
"1670","G. Miyasaki","Ingre","DF","Coy Sunbirds",19,"D","2021",11.5943333333333
"959","B. Ogwang","Nganion","DF","Swift Marauders",23,"E","2020",11.5946666666667
"1907","V. Abu","Nganion","DFMF","Delta Colts",27,"E","2021",11.6017
"2162","N. Terzi?","Rarita","DF","Strong Oaks",22,"RFL","2021",11.619
"1331","J. Kinoshita","Czechnor","DF","Simple Privateers",32,"B","2021",11.6231333333333
"356","Z. Nakiganda","Dosqaly","DF","Weak Blimps",24,"B","2020",11.6282666666667
"1582","Z. Chipeta","Esia","DF","Supreme Jaguars",28,"C","2021",11.6301666666667
"1069","M. Namukwaya","Ngoque Blicri","FWDF","Fanatical Outlaws",32,"A","2021",11.6329666666667
"1771","D. Shuaibu","Nkasland Cronestan","DF","Mighty Monkeys",28,"D","2021",11.6462333333333
"769","U. Mansour","Lefghau","DF","Wet Flames",22,"D","2020",11.6535333333333
