"","Player","Nation","Pos","Squad","Age","League","Year","FWPred"
"1557","K. Mayanja","Bernepamar","FWMF","Marvelous Heels",27,"D","2021",8.7967
"375","K. Eyotaru","Dosqaly","FW","Little Lollipops",21,"C","2020",8.80836666666667
"607","I. Lehmann","Sobianitedrucy","FWMF","Red Rangers",17,"D","2020",8.81213333333334
"1204","F. Schäfer","Rosvi","FW","Solemn Leopards",24,"B","2021",8.81726666666667
"336","O. Pellegrini","Esia","FW","Awkward Trailblazers",26,"C","2020",8.82046666666667
"698","U. Nafula","Mico","FWMF","Festive Governors",28,"E","2020",8.83523333333333
"1775","Q. Nyangoma","Imaar Vircoand","FW","Rabid Greyhounds",29,"E","2021",8.83586666666667
"566","K. Mayanja","Bernepamar","MFFW","Marvelous Heels",26,"D","2020",8.8383
"1636","Q. Acen","Danan Seekeeling","FW","Wet Flames",24,"D","2021",8.8396
"1615","Q. Oryema","Sobianitedrucy","FW","Spicy Pointers",21,"D","2021",8.84046666666667
"964","I. Koomson","Djipines","FW","Green Fleet",22,"A","2021",8.8526
"915","F. Zeng","Nganion","FW","Walking Runners",25,"RFL","2020",8.85656666666666
"1402","F. Blanco","Manlisgamncent","FW","Silver Frogs",22,"C","2021",8.86173333333334
"1606","B. Ková?ik","Sobianitedrucy","FWMF","Remarkable Flames",27,"D","2021",8.86220000000001
"1855","X. Thomas","Rarita","FW","Educated Avengers",28,"RFL","2021",8.865
"1548","K. Taremwa","Lefghau","FWMF","Hideous Spartans",28,"D","2021",8.88176666666667
"1235","O. Ninsiima","Greri Landmoslands","MFFW","Swift Rustlers",25,"B","2021",8.8852
"1840","G. Muleya","Manlisgamncent","FW","Black Coyotes",26,"RFL","2021",8.8855
"651","Y. Akiror","Rosvi","FW","Strange Pioneers",19,"D","2020",8.89033333333334
"199","B. Moss","Lonnia Haba","FW","Lady Ocelots",25,"B","2020",8.89216666666666
"541","E. Munetsi","Imaar Vircoand","FW","Flying Bombadiers",37,"D","2020",8.89633333333333
"1097","U. Atugonza","Republic of Denand Landsa","FW","Golden Rustlers",21,"B","2021",8.89656666666667
"966","I. Abeja","Janmico","FW","Green Fleet",33,"A","2021",8.8984
"931","A. Tindimwebwa","Rarita","FWMF","Wild Hornets",19,"RFL","2020",8.89876666666667
"1500","D. Andersson","Lefghau","MFFW","Coy Catamarans",29,"D","2021",8.90526666666667
"466","R. Kato","Manlisgamncent","FWMF","Ultimate Dolphins",30,"C","2020",8.90963333333333
"895","T. Kabonesa","Nganion","MFFW","Great Pandas",21,"RFL","2020",8.91476666666667
"420","L. Malinga","People's Land of Maneau","FWMF","Serious Cyclones",19,"C","2020",8.92356666666667
"1165","D. Dumitru","Czechnor","MFFW","Serious Thunderbirds",25,"B","2021",8.92576666666667
"1045","R. Wambi","People's Land of Maneau","FWMF","Somber Bombers",29,"A","2021",8.9265
"1561","Z. Ng'ambi","Saintu","FWMF","Marvelous Heels",32,"D","2021",8.9273
"1609","G. Chemutai","Loco Phirema","FW","Serious Ranchers",26,"D","2021",8.93903333333333
"1751","T. Mendes","Lylimi","MFFW","Plane Janes",19,"E","2021",8.94276666666667
"78","F. Njoku","Lefghau","FW","Old Mustangs",27,"A","2020",8.94303333333333
"1895","N. Yamashita","Rarita","FW","Strong Oaks",19,"RFL","2021",8.94896666666667
"289","J. Rinaldi","Central Diasongo","FWDF","Unaccountable Foxes",22,"B","2020",8.94946666666667
"757","G. Owusu","Nganion","FW","Polar Kangaroos",26,"E","2020",8.95246666666667
"804","V. Phung","Nganion","MFFW","Sassy Knights",26,"E","2020",8.96503333333333
"1552","I. Goh","Sobianitedrucy","MFFW","Hideous Spartans",21,"D","2021",8.96506666666667
"288","U. Iskandar","Dosqaly","FW","Unaccountable Foxes",23,"B","2020",8.96876666666667
"389","G. Acheampong","New Uwi","MFFW","Marvelous Anchors",22,"C","2020",8.96966666666667
"513","U. Taaka","Xikong","FWMF","Coy Sunbirds",19,"D","2020",8.9728
"1566","N. Colón","Central Diasongo","FWMF","Marvelous Patriots",20,"D","2021",8.97653333333334
"1579","F. Zeng","Nganion","FWMF","Mean Wolves",26,"D","2021",8.9766
"1242","U. Iskandar","Dosqaly","FW","Unaccountable Foxes",24,"B","2021",8.97836666666667
"988","K. Aliyu","Saintswacroa","FW","Horrible Storm",24,"A","2021",8.98133333333334
"1","D. Oren","Central Diasongo","FW","Fanatical Outlaws",25,"A","2020",8.9817
"1518","H. Kirabira","Newgan Ruland","FW","Fighting Clippers",25,"D","2021",8.9865
"1340","E. Tumuhimbise","Esia","FW","Little Lollipops",29,"C","2021",8.9889
"1174","X. Kwesiga","Coastpa Barleslands","FW","Simple Jayhawks",21,"B","2021",8.991
"547","O. Night","Sobianitedrucy","FWMF","Flying Bombadiers",22,"D","2020",8.9966
"776","F. Akongo","Nganion","MFFW","Punctual Leopards",17,"E","2020",9.00143333333334
"1541","C. Majoni","Sobianitedrucy","FWMF","Flying Bombadiers",28,"D","2021",9.00240000000001
"1573","I. Mugerwa","Byasier Pujan","FW","Mean Wolves",17,"D","2021",9.00623333333333
"388","L. Wasswa","Landli Blicporlip","MFFW","Marvelous Anchors",25,"C","2020",9.00626666666667
"982","H. Alobo","Esia","MFFW","Horrible Grizzlies",21,"A","2021",9.01273333333332
"1024","M. Purnomo","Central Diasongo","FW","Silver Heels",27,"A","2021",9.02196666666667
"1471","X. James","Mico","FW","White Firebirds",26,"C","2021",9.0346
"79","W. Kayange","Southern Ristan","FW","Old Mustangs",24,"A","2020",9.0348
"815","H. Mancini","Nganion","FW","Serious Magicians",29,"E","2020",9.03616666666667
"1531","E. Kiyingi","Sobianitedrucy","FWMF","Fighting Wave",20,"D","2021",9.041
"220","D. Dumitru","Czechnor","FWDF","Serious Thunderbirds",24,"B","2020",9.04986666666667
"1388","F. Yan","Redohrainbri","FW","Serious Cyclones",20,"C","2021",9.06386666666667
"1717","J. Taylor","Nganion","FWMF","Mad Bees",33,"E","2021",9.0653
"1730","C. Neri","Nganion","FWMF","Mad Kingsmen",24,"E","2021",9.08273333333333
"1578","K. Philippe","Eastern Niasland","FWMF","Mean Wolves",30,"D","2021",9.08590000000001
"1568","P. Mukalazi","Ledian","FWMF","Marvelous Patriots",24,"D","2021",9.08906666666667
"142","I. Abeja","Janmico","FW","Flawless Cows",32,"B","2020",9.08946666666667
"1610","L. Razaie","Nathuacamana","FW","Serious Ranchers",31,"D","2021",9.09203333333334
"1879","Q. Fernandes","Nganion","MFFW","Red Anchormen",29,"RFL","2021",9.0964
"750","G. Musoke","Nganion","FWMF","Plane Janes",21,"E","2020",9.10573333333334
"675","B. Mtonga","Nganion","FWMF","Deferred Dolphins",27,"E","2020",9.11223333333334
"1241","T. Kuok","Dosqaly","FW","Unaccountable Foxes",22,"B","2021",9.11476666666667
"950","L. Wafula","Dosqaly","FWMF","Fighting Cougars",23,"A","2021",9.11506666666667
"1743","E. Mwesigye","Nganion","MFFW","Orange Giants",19,"E","2021",9.12166666666667
"1559","D. Rahmawati","Eastern Sleboube","FWMF","Marvelous Heels",24,"D","2021",9.12283333333333
"624","Y. Nalubwama","Sobianitedrucy","FW","Rowdy Clippers",27,"D","2020",9.124
"501","Z. Eshun","Dosqaly","MFFW","White Firebirds",21,"C","2020",9.12763333333333
"1111","K. Van der Meer","Central Diasongo","FWMF","Grotesque Rocks",18,"B","2021",9.12903333333333
"1843","K. Kazlo?","Rarita","FW","Black Coyotes",38,"RFL","2021",9.1369
"344","H. Manyika","Lylimi","FWMF","Awkward Trailblazers",29,"C","2020",9.14426666666666
"1765","S. Ibraimo","Nganion","FW","Punctual Leopards",24,"E","2021",9.15033333333334
"560","Z. Ng'ambi","Saintu","FW","Marvelous Heels",31,"D","2020",9.16426666666666
"1499","G. Mar","Pierrema","FWMF","Coy Catamarans",23,"D","2021",9.16883333333334
"1007","F. Njoku","Lefghau","FW","Old Mustangs",28,"A","2021",9.17206666666666
"508","N. Magombo","Sobianitedrucy","FW","Coy Sunbirds",26,"D","2020",9.18010000000001
"1489","I. Moses","Esia","FWMF","Wicked Gentlefolk",25,"C","2021",9.1814
"371","L. Ndoro","Esia","FWMF","Horrible Flames",16,"C","2020",9.186
"462","B. Mpofu","Byasier Pujan","FWMF","Ultimate Dolphins",18,"C","2020",9.19906666666667
"422","A. Yusuf","Esia","MFFW","Serious Cyclones",30,"C","2020",9.20046666666667
"1521","F. Akwero","Sobianitedrucy","FW","Fighting Clippers",26,"D","2021",9.20886666666667
"1107","D. Tshuma","Coastpa Barleslands","FW","Grotesque Rocks",25,"B","2021",9.2113
"943","E. Taylor","People's Land of Maneau","MFFW","Fanatical Outlaws",27,"A","2021",9.21336666666666
"1735","R. Nuwagaba","Nganion","FW","Orange Giants",30,"E","2021",9.217
"1608","I. Mwase","Imaar Vircoand","FW","Serious Ranchers",25,"D","2021",9.2189
"1092","W. Kuhn","Dosqaly","MFFW","Glistening Paladins",22,"B","2021",9.22616666666666
"1043","R. De Wit","Lefghau","FWMF","Somber Bombers",23,"A","2021",9.2263
"121","V. Álvarez","Rarita","MFFW","Stacked Rocks",23,"A","2020",9.22713333333333
"1070","L. Barman","People's Land of Maneau","FWMF","Weak Tornadoes",22,"A","2021",9.23396666666667
"243","V. Nagawa","Dosqaly","MFFW","Simple Privateers",20,"B","2020",9.24096666666667
"990","K. Namuwaya","People's Land of Maneau","FWMF","Horrible Storm",24,"A","2021",9.24713333333334
"1191","F. Namajja","Central Badad","FWMF","Simple Privateers",25,"B","2021",9.2586
"103","F. Mtambo","Nganion","MFFW","Solemn Cougars",26,"A","2020",9.26046666666667
"1570","G. Chimwaza","Sobianitedrucy","FWMF","Marvelous Patriots",20,"D","2021",9.26766666666666
"653","I. Goh","Sobianitedrucy","FWDF","Strange Pioneers",20,"D","2020",9.27043333333334
"27","H. Gomani","Southslands","FW","Great Galactic Gorgons",31,"A","2020",9.2717
"727","P. Villa","Nganion","FWMF","Mad Kingsmen",19,"E","2020",9.27276666666667
"524","J. Saidu","Nganion","FW","Fighting Clippers",34,"D","2020",9.27586666666667
"1438","B. Mpofu","Byasier Pujan","FW","Ultimate Dolphins",19,"C","2021",9.28013333333333
"1755","X. Mubiru","Nganion","FW","Polar Kangaroos",31,"E","2021",9.28513333333333
"622","O. Fischer","Sobianitedrucy","FW","Rowdy Clippers",28,"D","2020",9.2925
"1697","V. Sserugo","Nganion","FWMF","Hideous Spiders",25,"E","2021",9.2974
"836","I. Castro","Nganion","FW","Swift Marauders",24,"E","2020",9.29756666666667
"1530","G. Owusu","Nganion","FW","Fighting Wave",27,"D","2021",9.3004
"1354","D. Mortenson","Sobianitedrucy","MFFW","Marvelous Anchors",27,"C","2021",9.30853333333333
"1682","E. Thembo","Nganion","FW","Flying Penguins",31,"E","2021",9.31103333333334
"1587","Y. Nalubwama","Sobianitedrucy","FW","Mighty Monkeys",28,"D","2021",9.3115
"952","F. Cho","Southern Ristan","FWMF","Fighting Cougars",25,"A","2021",9.3145
"705","Z. Kneževi?","Lefghau","FW","Horrible Bison",27,"E","2020",9.31546666666667
"553","K. Taremwa","Lefghau","FWMF","Hideous Spartans",27,"D","2020",9.32113333333334
"68","I. Nugraha","People's Land of Maneau","FW","Mighty Jays",19,"A","2020",9.32333333333333
"569","S. Obonyo","Central Diasongo","FW","Marvelous Patriots",22,"D","2020",9.32896666666667
"1124","E. Ayerango","Loco Phirema","MFFW","Jumping Beans",25,"B","2021",9.33563333333333
"665","B. Kansiime","Nganion","MFFW","Wet Flames",24,"D","2020",9.34123333333333
"1089","G. Munsaka","Dosqaly","MFFW","Glistening Paladins",31,"B","2021",9.34256666666666
"1076","Z. Basile","Dosqaly","FW","Flawless Cows",18,"B","2021",9.34343333333334
"39","S. Mlakar","Dosqaly","FW","Horrible Grizzlies",32,"A","2020",9.34616666666667
"476","C. Asadi","Lylimi","MFFW","Ultimate Longhorns",22,"C","2020",9.35003333333333
"723","F. Claes","Rosvi","FW","Mad Kingsmen",21,"E","2020",9.3542
"1156","U. Mustapha","Dosqaly","MFFW","Overconfident Kangaroos",19,"B","2021",9.36106666666667
"1539","M. Ogbonna","Mico","FWDF","Flying Bombadiers",20,"D","2021",9.36263333333334
"766","O. Nalubega","Southern Ristan","MFFW","Polar Kangaroos",25,"E","2020",9.36513333333333
"248","Q. Okiror","Dosqaly","FW","Solemn Leopards",32,"B","2020",9.3757
"1567","S. Obonyo","Central Diasongo","FWMF","Marvelous Patriots",23,"D","2021",9.37893333333334
"209","Q. Mangwiro","Coastpa Barleslands","FW","Overconfident Kangaroos",24,"B","2020",9.3872
"669","R. Uchida","Sobianitedrucy","MFFW","Wet Flames",22,"D","2020",9.39016666666667
"1036","F. Mtambo","Nganion","MFFW","Solemn Cougars",27,"A","2021",9.40413333333333
"768","K. Sibanda","Eastern Sleboube","FW","Punctual Leopards",29,"E","2020",9.4056
"1396","A. Yusuf","Esia","MFFW","Serious Cyclones",31,"C","2021",9.4076
"1008","W. Kayange","Southern Ristan","FW","Old Mustangs",25,"A","2021",9.41319999999999
"866","H. Che","Rarita","MFFW","Black Coyotes",29,"RFL","2020",9.4167
"169","H. binti Yusof","New Somoe","FWMF","Grotesque Rocks",28,"B","2020",9.42563333333333
"98","M. Purnomo","Central Diasongo","MFFW","Silver Heels",26,"A","2020",9.42773333333333
"802","J. Pradhan","Nganion","MFFW","Sassy Knights",22,"E","2020",9.42896666666667
"1549","W. Kisitu","Sobianitedrucy","FWMF","Hideous Spartans",24,"D","2021",9.4299
"200","I. Yoshida","Southern Ristan","FW","Lady Ocelots",23,"B","2020",9.4508
"1462","F. Schäfer","Rosvi","FWDF","Weak Chargers",24,"C","2021",9.45253333333333
"118","D. Namugerwa","Imaar Vircoand","MFFW","Stacked Rocks",27,"A","2020",9.4539
"1154","F. Bello","Dosqaly","MFFW","Overconfident Kangaroos",26,"B","2021",9.45436666666666
"1136","X. Ngwenya","Republic of Denand Landsa","FW","Mean Poets",21,"B","2021",9.46013333333334
"1193","F. Bizjak","Dosqaly","FWMF","Simple Privateers",19,"B","2021",9.46093333333333
"1082","B. Obonyo","Imaar Vircoand","FWMF","Flawless Cows",32,"B","2021",9.4611
"1604","M. Mansouri","Nganion","FWMF","Remarkable Flames",22,"D","2021",9.46683333333333
"1406","Q. Addo","Quewenia","FWMF","Silver Frogs",28,"C","2021",9.47306666666667
"1355","N. Nowak","Cuandbo","FW","Mean Trolls",31,"C","2021",9.47563333333333
"292","K. Aliyu","Saintswacroa","FWMF","Unaccountable Foxes",23,"B","2020",9.4759
"281","H. Mubaiwa","Rarita","FW","Swift Rustlers",31,"B","2020",9.47696666666667
"1558","G. Sugawara","Byasier Pujan","FWMF","Marvelous Heels",23,"D","2021",9.47733333333333
"1509","R. Lau","Cabral Retrea","FWMF","Coy Sunbirds",21,"D","2021",9.4845
"1411","G. Bey","Xikong","FW","Spicy Gophers",29,"C","2021",9.4907
"1373","F. Sun","Riazbe Ryma","FWMF","Punctual Archers",25,"C","2021",9.49936666666667
"1064","R. Jacobs","People's Land of Maneau","MFFW","Swift Musketeers",26,"A","2021",9.49976666666667
"472","U. Den","Greri Landmoslands","FW","Ultimate Longhorns",24,"C","2020",9.50293333333333
"658","F. Oyama","Northern Namemo Laand","FW","Sugar Bengals",30,"D","2020",9.51216666666666
"1448","U. Duval","Byasier Pujan","FW","Ultimate Longhorns",31,"C","2021",9.5189
"579","K. Philippe","Eastern Niasland","FW","Mean Wolves",29,"D","2020",9.52593333333333
"320","O. Ssenabulya","Pierrema","MFFW","Weak Blimps",19,"B","2020",9.53246666666667
"238","A. Uy","People's Land of Maneau","FWMF","Simple Privateers",21,"B","2020",9.539
"425","E. Lam","Byasier Pujan","FW","Silver Frogs",26,"C","2020",9.53966666666667
"1068","X. V?tols","Greri Landmoslands","FWMF","Weak Tornadoes",26,"A","2021",9.54816666666667
"331","C. Domínguez","Southern Viout Aman","FWMF","Wet Monarchs",18,"B","2020",9.54823333333333
"1494","S. Chu","Republic of Denand Landsa","FW","Coy Catamarans",28,"D","2021",9.5501
"1731","F. Claes","Rosvi","FWMF","Mad Kingsmen",22,"E","2021",9.55423333333333
"659","E. Munduru","Sobianitedrucy","FW","Sugar Bengals",17,"D","2020",9.56063333333333
"1878","L. Ningsih","Djipines","MFFW","Red Anchormen",21,"RFL","2021",9.5607
"1265","Q. Yamazaki","Pierrema","FWMF","Villainous Eagles",23,"B","2021",9.5663
"1484","D. Ortíz","Lenia Gerdanho","DFFW","Wicked Gentlefolk",21,"C","2021",9.5663
"1157","B. Amin","Southern Ristan","MFFW","Overconfident Kangaroos",18,"B","2021",9.57163333333333
"518","A. Makore","Sobianitedrucy","FW","Deranged Defenders",28,"D","2020",9.57583333333334
"1319","L. Nakirya","Esia","FW","Fiery Governors",26,"C","2021",9.589
"1335","J. Adam","Esia","FWMF","Horrible Flames",30,"C","2021",9.59253333333334
"230","X. Kwesiga","Coastpa Barleslands","FW","Simple Jayhawks",20,"B","2020",9.5934
"1057","T. Acom","People's Land of Maneau","FW","Swift Musketeers",28,"A","2021",9.59556666666666
"962","H. Gomani","Southslands","FWMF","Great Galactic Gorgons",32,"A","2021",9.59786666666667
"1073","U. Alshehri","People's Land of Maneau","MFFW","Weak Tornadoes",17,"A","2021",9.60113333333333
"1710","G. Nalukwago","Southern Ristan","FWMF","Horrible Bison",25,"E","2021",9.60566666666667
"1784","U. Yong","Byasier Pujan","FW","Running Bigfoots",29,"E","2021",9.6067
"333","B. Ndlovu","Dosqaly","MFFW","Wet Monarchs",20,"B","2020",9.6176
"1091","U. Madondo","Dosqaly","MFFW","Glistening Paladins",23,"B","2021",9.62453333333333
"1891","A. Kyarikunda","Rarita","FW","Strong Oaks",30,"RFL","2021",9.63596666666667
"1543","O. Night","Sobianitedrucy","FWMF","Flying Bombadiers",23,"D","2021",9.63636666666667
"1249","D. Masuku","Dosqaly","FWMF","Unethical Comets",26,"B","2021",9.63943333333333
"1281","M. Maimon","Dosqaly","FW","Wet Monarchs",32,"B","2021",9.6442
"257","E. Tumukunde","Dosqaly","FWMF","Somber Stallions",23,"B","2020",9.64443333333333
"848","T. Amer","Nganion","FWMF","Ultimate Penguins",26,"E","2020",9.64583333333333
"989","K. Muhumuza","People's Land of Maneau","FWMF","Horrible Storm",22,"A","2021",9.64666666666666
"1444","J. Halvorsen","Esia","FWMF","Ultimate Dolphins",17,"C","2021",9.6563
"352","Y. Marlina","Isle of Lababwe","FWMF","Blue Jaguars",26,"C","2020",9.65743333333333
"153","Y. Low","Dosqaly","FWMF","Glistening Paladins",22,"B","2020",9.65753333333333
"1797","L. Ibrahimovi?","Nganion","FWMF","Sassy Knights",25,"E","2021",9.66563333333333
"980","A. Olobo","Biarizea","FWMF","Horrible Grizzlies",27,"A","2021",9.66833333333334
"49","O. Nampeera","People's Land of Maneau","MFFW","Horrible Grizzlies",20,"A","2020",9.67073333333333
"561","N. Yamashita","Sobianitedrucy","FW","Marvelous Heels",18,"D","2020",9.6722
"1851","K. Mawanda","Varijitri Isles","MFFW","Black Coyotes",26,"RFL","2021",9.67286666666667
"1613","X. Sakamoto","Rocda Bemoda","FW","Spicy Pointers",25,"D","2021",9.67416666666667
"1375","M. Kiiza","Mico","MFFW","Punctual Archers",24,"C","2021",9.6825
"602","G. Sserugo","Sobianitedrucy","FW","Red Rangers",30,"D","2020",9.68316666666667
"1909","G. Mandaza","Greri Landmoslands","MFFW","Wild Hornets",24,"RFL","2021",9.684
"1332","M. Nyirongo","Lefghau","FW","Horrible Flames",20,"C","2021",9.68983333333333
"978","Z. Makore","People's Land of Maneau","FW","Horrible Grizzlies",22,"A","2021",9.69566666666667
"1602","B. Asiedu","Isle of Lababwe","FWMF","Remarkable Flames",31,"D","2021",9.698
"355","I. Tukundane","Pierrema","FWMF","Blue Jaguars",27,"C","2020",9.7002
"975","S. Mlakar","Dosqaly","FW","Horrible Grizzlies",33,"A","2021",9.7003
"1883","G. Cou","Rarita","FW","Serious Buffaloes",21,"RFL","2021",9.7084
"1599","D. Adebayo","Nganion","FW","Remarkable Flames",23,"D","2021",9.70993333333334
"380","M. Mathieu","Quewenia","FWMF","Little Lollipops",22,"C","2020",9.712
"327","Y. Jokinen","Dosqaly","FWDF","Wet Monarchs",26,"B","2020",9.71913333333333
"522","B. Nakandi","Sobianitedrucy","MFFW","Deranged Defenders",27,"D","2020",9.72666666666668
"1706","G. Twebaze","Nganion","FWMF","Horrible Bison",25,"E","2021",9.73063333333334
"139","R. Jacobs","People's Land of Maneau","MFFW","Swift Musketeers",25,"A","2020",9.73396666666667
"97","M. Willems","People's Land of Maneau","FWMF","Silver Heels",26,"A","2020",9.74173333333333
"1042","H. Mafabi","Dosqaly","FWMF","Somber Bombers",23,"A","2021",9.7451
"1102","F. Salonen","Republic of Denand Landsa","FWMF","Golden Rustlers",22,"B","2021",9.7546
"1563","V. Tugume","Sobianitedrucy","FW","Marvelous Patriots",32,"D","2021",9.7629
"742","R. Nuwagaba","Nganion","FW","Orange Giants",29,"E","2020",9.77353333333334
"222","I. Okada","Dosqaly","FWMF","Serious Thunderbirds",32,"B","2020",9.77533333333334
"1818","W. Ofori","Unicorporated Tiagascar","FWMF","Serious Magicians",26,"E","2021",9.78726666666667
"374","M. Nyirongo","Lefghau","MFFW","Horrible Flames",19,"C","2020",9.7933
"1474","J. Sharon","Landli Blicporlip","FWMF","White Firebirds",24,"C","2021",9.79603333333333
"188","E. Cortez","Dosqaly","FWMF","Jumping Beans",22,"B","2020",9.79833333333333
"431","F. Blanco","Manlisgamncent","MFFW","Silver Frogs",21,"C","2020",9.80316666666667
"1756","U. Iskandar","Dosqaly","FWMF","Polar Kangaroos",24,"E","2021",9.8124
"700","E. Thembo","Nganion","FW","Flying Penguins",30,"E","2020",9.81533333333334
"1311","X. Walusimbi","Lefghau","FWDF","Blue Jaguars",23,"C","2021",9.82496666666667
"1393","L. Malinga","People's Land of Maneau","FWMF","Serious Cyclones",20,"C","2021",9.83673333333333
"772","U. Siziba","Mico","FWMF","Punctual Leopards",24,"E","2020",9.83726666666667
"1385","U. Katushabe","Ili Siaco","MFFW","Red Artichokes",29,"C","2021",9.83769999999999
"1464","U. Tkachenko","Byasier Pujan","FWMF","Weak Chargers",22,"C","2021",9.838
"591","X. Kazibwe","Janmico","MFFW","Mighty Monkeys",28,"D","2020",9.8429
"1829","Q. Acen","Danan Seekeeling","FW","Ultimate Penguins",24,"E","2021",9.84980000000001
"269","H. Pang","Dosqaly","FWMF","Supreme Janes",21,"B","2020",9.85856666666666
"869","K. Mawanda","Varijitri Isles","MFFW","Black Coyotes",25,"RFL","2020",9.86136666666667
"1764","P. Ayd?n","Nganion","FW","Punctual Leopards",32,"E","2021",9.8625
"604","R. Nabwire","Sobianitedrucy","FW","Red Rangers",34,"D","2020",9.8753
"1562","J. Jørgensen","Manlisgamncent","MFFW","Marvelous Heels",25,"D","2021",9.8775
"1098","E. Cortez","Dosqaly","FWMF","Golden Rustlers",23,"B","2021",9.87906666666667
"170","U. Dewi","Reugha","FWMF","Grotesque Rocks",22,"B","2020",9.88926666666667
"445","M. Ebong","Esia","MFFW","Spicy Gophers",27,"C","2020",9.89023333333333
"382","N. Nalule","Esia","MFFW","Little Lollipops",30,"C","2020",9.89043333333332
"1129","S. Lombardo","Dosqaly","FW","Mean Colts",29,"B","2021",9.891
"1084","K. Opio","Esia","MFFW","Flawless Cows",26,"B","2021",9.89123333333333
"1378","M. Neo","Esia","FWMF","Red Artichokes",28,"C","2021",9.89743333333333
"37","E. Taylor","People's Land of Maneau","MFFW","Green Fleet",26,"A","2020",9.89983333333332
"42","F. Pellegrini","Nganion","FW","Horrible Grizzlies",32,"A","2020",9.90466666666667
"1863","Q. Ayerango","Southslands","FWMF","Mad Wolverines",25,"RFL","2021",9.90496666666666
"482","B. Acio","Esia","FW","Weak Chargers",23,"C","2020",9.9078
"538","H. Kelmendi","Lefghau","FWMF","Fighting Wave",28,"D","2020",9.91020000000001
"1502","U. Molla","Central Diasongo","FW","Coy Sunbirds",33,"D","2021",9.91750000000001
"782","N. Khalil","Dastatesne","FW","Running Bigfoots",27,"E","2020",9.9177
"594","W. Suleman","Sobianitedrucy","FW","Punctual Fire",25,"D","2020",9.93933333333333
"1101","Y. Horváth","Landli Blicporlip","FWMF","Golden Rustlers",27,"B","2021",9.94103333333333
"212","H. Sugiyama","Dosqaly","FWMF","Overconfident Kangaroos",25,"B","2020",9.94373333333333
"1906","K. Al-Zahrani","Rarita","FW","Wild Hornets",18,"RFL","2021",9.94603333333333
"1466","H. Driscoll","Southern Ristan","FWMF","Weak Chargers",22,"C","2021",9.94713333333334
"826","J. Elsayed","Nganion","FWMF","Swift Bison",27,"E","2020",9.95236666666666
"1535","E. Munetsi","Imaar Vircoand","FW","Flying Bombadiers",38,"D","2021",9.95366666666667
"164","T. Karmakar","Dosqaly","MFFW","Golden Rustlers",28,"B","2020",9.95703333333333
"1468","R. Zamani","Giumle Lizeibon","DFFW","White Firebirds",23,"C","2021",9.95746666666667
"1864","A. Katusiime","Greri Landmoslands","MFFW","Mad Wolverines",24,"RFL","2021",9.95746666666667
"250","P. Jackson","Imaar Vircoand","FW","Solemn Leopards",29,"B","2020",9.9594
"1410","S. Lokol","Republic of Denand Landsa","FW","Spicy Gophers",19,"C","2021",9.9631
"875","G. Oduro","Rarita","DFFW","Golden Cadets",24,"RFL","2020",9.9652
"1586","V. Heikkinen","Sobianitedrucy","FW","Mighty Monkeys",37,"D","2021",9.96983333333333
"1183","H. Amponsah","Pierrema","MFFW","Simple Jayhawks",27,"B","2021",9.9727
"710","U. Nyakaisiki","Nganion","FWMF","Horrible Bison",17,"E","2020",9.97776666666666
"215","Q. Ajiko","Lefghau","MFFW","Overconfident Kangaroos",22,"B","2020",9.983
"857","Q. Virtanen","Nkasland Cronestan","FW","Black Coyotes",24,"RFL","2020",9.9832
"1254","E. Ajwang","Central Namemo Laand","FW","Villainous Eagles",28,"B","2021",9.98503333333333
"1478","J. Pedro","Nganion","MFFW","White Firebirds",22,"C","2021",9.9891
"162","Y. Horváth","Landli Blicporlip","FWMF","Golden Rustlers",26,"B","2020",10.0055
"160","F. Salonen","Republic of Denand Landsa","FWDF","Golden Rustlers",21,"B","2020",10.0088666666667
"47","X. Nakanwagi","Southern Ristan","FW","Horrible Grizzlies",25,"A","2020",10.0145666666667
"267","B. Roche","Dosqaly","FWMF","Supreme Janes",25,"B","2020",10.0221
"1638","F. Mugabe","Sobianitedrucy","FW","Wet Flames",23,"D","2021",10.0252666666667
"825","Q. Fernandes","Nganion","FW","Swift Bison",28,"E","2020",10.028
"151","G. Munsaka","Dosqaly","FWMF","Glistening Paladins",30,"B","2020",10.0332333333333
"1504","I. Zia","Sobianitedrucy","FW","Coy Sunbirds",35,"D","2021",10.0395
"1127","Y. bin Abu Bakar","Central Namemo Laand","FW","Mean Colts",21,"B","2021",10.0425666666667
"146","R. Ssembatya","Nganion","FWMF","Flawless Cows",27,"B","2020",10.0426
"421","I. Permana","Southern Ristan","FWMF","Serious Cyclones",26,"C","2020",10.0446333333333
"1037","W. Török","People's Land of Maneau","MFFW","Solemn Cougars",23,"A","2021",10.0448333333333
"1318","D. Morales","Dosqaly","FW","Fiery Governors",23,"C","2021",10.0466
"1330","K. Jakobsson","Galamily","FW","Horrible Flames",24,"C","2021",10.0606
"827","W. Ghosh","Eastern Sleboube","MFFW","Swift Bison",28,"E","2020",10.0606666666667
"115","L. Kyalisiima","Byasier Pujan","FWMF","Stacked Rocks",21,"A","2020",10.0618333333333
"749","Q. Hämäläinen","Rarita","FW","Plane Janes",25,"E","2020",10.0637666666667
"1287","U. Kristiansen","Dosqaly","MFFW","Wet Monarchs",19,"B","2021",10.0657333333333
